ተለዋዋጭ የግድግዳ
እንደሚያደርግና መጨረሻው
እንደሆነ ሊያውቀው
አልቻለም ሽፍትነት
እንደሆነ እንደሚደረግ
አልያዘም የሚኖርበት
ክርስቲያን ካህናቱም
የሰንበት አሳስቶኝ
ድንጋዩን አነሡለት
አልሆነም እንዳትመጣ
የሚባለው እንዲያውም
አቅራሪዎቹ ካልሸፈተ
አይሸፍትም ይመክሩት
ለሚወስኑና ለሚያደርጉ
አስተሳሰብ የሀገራችን
አንዳንድ ፓርቲዎች
ማኅበራት ድርጅቶች
ኩባንያዎችና ስብስቦች
ሳይታሰቡ ተመሥርተው
የጠፋባቸው ከመመሥረት
ለተቋማቱ እየተፈለገ
ለመመሥረት የለበትም
ስለተሰባሰቡ በስማቸው
ስለመሠረቱ ስላቋቀቋሙ
እንቶኔና ስላቋቋሙ
መጀመሪያ አይደለም
የፈጠረውን ሳያስቡበት
አይደለም የታሰበበት
የተጠናና የተነበበበት
ከቀደምቶች የተቀሰመበት
ከተሳካላቸውም ካልተሳካላቸውም
ትምህርት የተወሰደበት
እንደሚኬድ እንደሆነ
የተሻለው እንደሆነ
የሚያስፈልጉ እንደሆኑ
መተባበር እንደሚገባ
ሊያጋጥም እንደሚችልየፍልስፍና
መስፈንጠሪያው እንደሆነ
አጥልቆና መመርመር
አንዳንድ አስቤያለሁ
በአእምሮዬ መጥቶልኛል
የሚያጋጥመው በአምስቱ
መረጃዎች አእምሮው
እንደሚነሣ ቅንጭሌውን
ሊያስነሡት ስለተነሣ
እንደማይባለው ሰውዬውም
አያስብለውም መጀመሪያ
የመኪናው አንቀሳቅሶ
ስላለለት ስለተፈጠረበት
በአጋጣሚ ስለደረሰው
ስላደረበት ስለተፈጠረለት
እንረዳሃለን መመሥረት
የለበትም አንዳንዶች
ለማድረግ ከመሰባሰብ
ተሰባስበው እንናድርግ
አንዳንድ ፓርቲዎች
ፍልስፍና ሳይኖራቸው
በፓርቲዎቻችን ለመጨመር
የተመሠረቱ ከተመሠረተ
ፕሮግራም ፍልስፍና
የሚያዘጋጁት ስለማይመሠረቱ
ከተመሠረቱ ይለያያሉ
እንዲያውም ችግሮቻችን
የሚቀናን ስለማንሰጥ
ይመስለኛል የስብሰባሞቅታ
የፈጠራቸው ኮሚቴዎች
አባሎቻቸውን አንጠባጥበው
እንደፈረሱ ሳይታወቅላቸው
ይፈርሳሉ ተነሥተው
የመሠረቷቸው ማኅበራትም
ከዓመታዊ ሊመጣላቸው
ስላልቻለ እያዘገሙ
አንዳንዶችም እንደሚጽፉ
እንደሚገጥሙ ለማሳተም
የሚውተረተሩ እንደሚያቀርቡ
ለማዘጋጀት የሚያሰባስቡ
ሳይኖራቸው እንደሚጠይቁ
ማይካቸውን ተጠያቂው
የሚተክሉ ቀልደኞች
እየቀደደ የተለመደበት
ከጎረቤቴ እለያለሁ
አመጣለሁ የሚያደርገው
የሚጀምረው ተቋሞቻችንም
ተጋብቷል ተቋሞቻችን
ትዳሮቻችንም እየሆኑኮ
የሚፈልግ እንዴትና
እንደሚያገባ የጋብቻው
እንደሚመስል አስቀድሞ
የሚያስብ እያሰብኩ
ሳልከፍት አልቀርም
እያሰብኩ የሚላችሁ
ሊያደርግ የተዘጋጀ
መውጣታቸውን እንደወጡ
መሥራትና እንደሚገዙ
እንደሚሠሩ እንደሚሄዱ
የማያስቡ በአንዳንድ
የነበረውን መንግሥት
ስለመቀየር በቅያሪው
ስለሚመጣው መንግሥት
ስላልታሰበበት የባሰበት
የሆነውን ከድርጊት
ከመመሪያም ከዐዋጅም
ከማፍረስም ከመሥራትም
ከመሸለምም ከመቅጣትም
ከመሄድም ከመምጣትም
እንዲያውም ነግሮኛል
አግዳሚውን እየተከተለ
የገበሬው ይገርመዋል
ገበሬውን መኪናውን
እይዘዋለሁ የሚያየው
ገበሬውም አይደለም
የሚያስገርመኝ የሚገርመኝ
መኪናውን እንደሚያደርገው
አለማሰቡ አስተሳሰብ
አይደለም በአንዳንድ
የነበረውን መንግሥት
ስለመቀየር በቅያሪው
ስለሚመጣው መንግሥት
ስላልታሰበበት የባሰበት
አታድርስ አመሰግናለሁ
አይደለም የሚያስገርመኝ
የሚገርመኝ መኪናውን
እንደሚያደርገው አለማሰቡ
የሚከስትበት እየተስተዋለ
እናመስግናለን ገበሬውን
መኪናውን እይዘዋለሁ
የሚያየው ገበሬውም
አይደለም የሚያስገርመኝ
የሚገርመኝ መኪናውን
እንደሚያደርገው አለማሰቡ
አስተሳሰብ አይደለም
ተነሥተው የመሠረቷቸው
ማኅበራትም ከዓመታዊ
ሊመጣላቸው ስላልቻለ
እያዘገሙ አዕጽምተ
ወያስተፈሥሁ እምከእስተቲ
ለተሳሳቱ ይሁናቸዉ
የተረዳሁበት ለመርዳት
እመክራለሁኝ ከተሳሳትኩኝ
ለመታረም አስታወስከኝ
የአያቶቼን እንደዚህ
ጨዋታዎችን ይነግሩኝ
የሚገርመው አይገጥም
ስለሜናገሩ እንደልብስ
እንደዚህ የለምእኮ
እንደነታች የሚሆኑት
የናፈቀኝ ከከተማው
ሕብረተሰብ ሲያናግርሕ
ሲጠላሕም የሌለበት
ሕብረተሰብ እንደሚሄዱ
የማያስቡ መልዕክት
በአብላጫው የምንገኘው
የተሰደደ እንደዚህ
አልመሰለኝም እንዲያውም
ችግሮቻችን የሚቀናን
ስለማንሰጥ ይመስለኛል
ክርስቶስ የሰራቸውን
ታኣምራት እሰራለሁ
የቤተክርስቲያን አድርጋቹ
ተመልከቱ አስገራሚ
ድራማአንዱ በተለያዮ
ትውናውን ይመልከቱ
የመስቀሉ ለሚጠፉት
ለምንድን የእግዚአብሔር
ቆሮንቶስ የመከርከን
ለሚገነዘብ እግዚአብሔር
ወደፊትም መንገድህን
እስከፍፃሜው ያቅናልህ
የማይገናኝ ለማንሳት
የሞከራችሁ መጀመሪያ
ሳይደክም መመለሱና
ትምህርት ከመግባት
ያስረዳናል መንክራት
ለማውራት የፈለግከው
አስጠንቋይ በመሆንህ
አጋንንት አይነጥላ
እንዳታይ እየነዳህ
የእግዚአብሔርን በመርሳት
ነበርነጋዴገበሬ የምታመጣው
ከምትለው በመረዳት
ሕይወቱን ሰይጣንን
በእግዚአብሔር አንዳንዴ
ማብዛትም የማያስፈልግበት
ይሉታልብዙ ያደረከዉ
ይመስልሃል ከስህተት
አይቀርም የመከርከን
ፍልስፍና ሳይኖራቸው
በፓርቲዎቻችን ለመጨመር
የተመሠረቱ ከተመሠረተ
ፕሮግራም ፍልስፍና
የሚያዘጋጁት ስለማይመሠረቱ
ከተመሠረቱ ይለያያሉ
አስፈጻሚ ከደርጅቱ
ለተተኪው ደብዳቤዎችን
ፖስታዎች በላያቸውም
መረጃዎች እንደገና
ተጠናቅሮ ተብራርቶና
ተዘጋጅቶ በጎንደር
ዕንባቆም በመርካቶ
ሃይማኖት ተዘጋጅቶ
የነበረው የዳንኤል
ዕይታዎች አከባበር
ሙሽሮቹን የሚያፋቅር
የሚያጣብቅ ይስጣችሁ
እስካሁን በተደጋጋሚ
መንፈሳውያን የጥምቀትና
አጥማቂዎች ጥምቀትየክርስትና
ጥምቀትን አይመለከትም
በብሉይና የክርስቶስ
ስትቀበል መቀበልን
እመርጣለሁ የተናገረው
አፈወርቅ የቁስጥንጥንያዋ
አውዶቅስያ ትውፊታውያን
የሀገራችን ሰዓሊዎች
የማያመዛዝንን አድርገው
እውነትን የሚቀበላት
ከሚያውቀው እየሰማሁት
ያለሁትን ፈጅቶብኛል
አልነበረብንም የተሳሳቷቸውን
በቤታችን ያለችውን
ሀገራችንን የገጠመው
በሀገሪቱ ይመስላል
ተአምራት ተአምራት
ከመንፈሳዊ ከሰይጣን
በክርስትና ለዘመናዊቷ
ኢትዮጵያ የደጃዝማች
የሕይወት ከቀኛዝማች
የቀረበው ምኒልክን
መንግሥት በሸዋዎች
ብርታትበ መንግሥታዊ
ኃላፊነትን የዐማኑኤል
ሆስፒታል ዳይሬክተር
ለሁለተኛ ኢትዮጵያ
ለመገጣጠም አውሮፕላን
የሚገጣጠሙ በተለያየ
ከጥቃቅን ከመካኒካል
ኤሌክትሪካል የሚያመርቱ
አንዶችም የተፈጥሮ
ሊቃውንት የምትገለጥ
የተለያዩ ተዋሕደውም
ከሚያብዱት ትውልድን
የሚያስጠነቅቁ ተገናኝተው
በጨዋታቸው ስለተግባቡ
ለመገናኘት ይስማማሉ
በተሰኘው መጽሐፋቸው
እንበልና የመድኃኒት
አስተዳደር መስተጋብር
አይደለም ተቀራራቢ
ያላቸውየቅርብ በሚመሠርቱት
ግንኙነት የሚፈጠርበት
ኢንብሪዲንግ የሚፈጠሩ
ዝርያዎች ጥንካሬያ
የጥንትና በተለምዶ
እየተባለ የሚጠራውና
የተከፋፈለው ኢትዮጵያ
የኢትዮጵያን የውሕደት
ለመረዳት ዓይነተኛ
የዳንኤል እይታዎች
የመጠለያ የሰሐራን
ያቋርጣሉ ይታለፋል
በየመንገዱ ከፖሊሶች
ለመደበቅ በየተራራው
አሻጋሪዎች መጨቃጨቁ
ይታለፍና በማይታወቅ
በሜዲትራንያን ይጀመራል
በሕይወት እየተጓዙ
ከተሰበረ እየታገሉ
እየተመሩ በእግዚአብሔር
መጀመርያ የድንኳን
አንዳንዶች እየዘለሉ
ዘመናቸውን የለበትም
የመጠለያ በኮንቴይነር
ድንኳኖች ኮንቴይነሮቹ
ሰምቻለሁ ድንኳኖቹ
እርጅናቸውን ይመሰክራሉ
በተለይም በሚገባውና
በሚያሰኘው የክረምቱ
ሊኖርበት እንደሚችል
መድኃኔዓለም በየሥራቸው
ተሠማርተዋል የታሪካችን
አስቀርቼዋለሁ ተሰቃይተው
ተቀብለው የደረሱት
ያስገርሙኛል ለወላጆቻቸው
ወንድሞቻቸው በሀገራቸው
ሊረዷቸው ለቤተሰቦቻቸው
የሚልኩት ኣሳጠርከውይህ
ሲታወስና በሚባለው
ትረካችንና አነጋገራችን
የእነርሱ አያልቅም
ለኃይማኖት ቅንነትና
ታዛዥነት እንዳንተ
ላስተዋለ ለመናገር
የተግባር ትምህርት
ገጠራማው ኢትዮጵያ
እንደምታየው ሲታዘዙልህ
ባዕድነት እንዳይሰማህ
የሚያደርጉልህ መስተንግዶና
የሚያሳዩህ ወንድማዊ
ወገኖቻችን ቢጻፍላቸው
ቢተረክላቸው መሰሎቻችን
በማስተዋወቅህ መድኃኔዓለም
ከእነርሱ ስለቀሩት
አንዳንድ ጠይቃቸው
ምክንያቱም የሚያነብ
መርከቢቷ እንዲገባ
ያደረገው እንዳይገባ
የገባውም እንዲወጣ
ይመስለኛል የትኛውን
የመርከቧን የመርከቧ
እንዲፈጥር ያደረገው
መጠየቅና መመርመር
የመርከቧ እንዳይፈጠር
ለመጠንቀቅና የጎደለውን
የጠመመውን ጥፋተኛውን
የመፈለግና የመቅጣት
መጀመሪያ እየሰመጠች
ያለችውን መንሳፈፍ
ማረጋገጥ አጥፊውን
ከመርከቧ ለማስወገድ
መጀመሪያ የመርከቧ
በቅድሚያ የመርከቧ
ተሳፋሪዎች በመደማመጥና
በመተባበር የሚገባው
መርከቢቱን እናድናት
የሚለውን የሚመልስ
አጥፊውን እንቅጣው
የለበትም መርከቧን
ካዳንንና ሕይወታችንን
ካተረፍን አጥፊውን
ብንፈልግ የመርከቧ
እንሰቅለዋለን ከሰጠመች
ለማትረፊያ አናገኝም
ፈጣሪውም ተቆጭዎቹም
እንወረወራለን ያድነናል
ማዕበሉን ከመርከቢቷ
እንዳይገባ ለመከላከል
የገባውን ለማስወጣት
እያደረግሁ ራሳችንን
እንጠይቅ እየተቆጨሁ
እየተናደድሁ አይሆንም
ማዕበሉን አያግደውምና
ለማዳንና ራሳቸውንም
ለመታደግ መርከበኞች
ከስሜታዊነትና ከግብታዊነት
በመልካሙ በተግባር
የተማሩትን ከሁኔታው
እያስማሙና በርሳቸውም
እየተስማሙ በመስጠት
አፈጻጸሙ ሊተጉበት
ይገባቸዋል ተሳፋሪዎቿም
መርከቧን ስለፈለጓቸው
ካግበሰበሷቸው ለመርከቢቱ
ከማይጠቅሙ ግሳንግስ
በፍጥነት ሊያቀሏትና
የመርከበኞቹን በንቃትና
በትሕትና እያዳመጡ
እየተከተሉ ሊንቀሳቀሱ
አይመስላችሁም ኢትዮጵያዊ
ያልግባበት የሚባለው
በደሴትም ይኖርበታል
በማይጠበቅ የፈጠርከውን
የማትረሳ ስደታችን
ተመልከት እስራኤልም
አተራረኩ ማስታወሻ
ስደተኛው ወደስህተት
የሚሄዱት እህቶቹን
ባለፈበት ሀላፊነት
በጎደለው የተጓዘበትን
የለባቸውና ሀገርቤት
የታዘብኩት የሚልኩት
እንደሚውል የማይላቸው
ለማግኘት ወንድሞቻቸውን
ለማሰኘት እንደመጣ
ያማያስተውሉት ጓደኞቻቸውን
አይዞአችሁ ያላገኙት
የገንዘቡን ሳያቁትም
ስላላዩት አይገባቸውም
መከራውን አልጨረሰም
አልጠገነ አለመባረክ
እንዳያዩ የሚልከው
እንዳውም መጥፊያቸው
አስፈጻሚ ከደርጅቱ
ለተተኪው ደብዳቤዎችን
ፖስታዎች በላያቸውም
መረጃዎች እንደገና
ተጠናቅሮ ተብራርቶና
ተዘጋጅቶ በጎንደር
ዕንባቆም በመርካቶ
ሃይማኖት ተዘጋጅቶ
የነበረው የዳንኤል
ዕይታዎች አከባበር
ሙሽሮቹን የሚያፋቅር
የሚያጣብቅ ይስጣችሁ
እስካሁን በተደጋጋሚ
መንፈሳውያን የጥምቀትና
አጥማቂዎች ጥምቀትየክርስትና
ጥምቀትን አይመለከትም
በብሉይና የክርስቶስ
ስትቀበል መቀበልን
እመርጣለሁ የተናገረው
አፈወርቅ የቁስጥንጥንያዋ
አውዶቅስያ ትውፊታውያን
የሀገራችን ሰዓሊዎች
የማያመዛዝንን አድርገው
እውነትን የሚቀበላት
ከሚያውቀው እየሰማሁት
ያለሁትን ፈጅቶብኛል
አልነበረብንም የተሳሳቷቸውን
በቤታችን ያለችውን
ሀገራችንን የገጠመው
በሀገሪቱ ይመስላል
ተአምራት ተአምራት
ከመንፈሳዊ ከሰይጣን
በክርስትና ለዘመናዊቷ
ኢትዮጵያ የደጃዝማች
የሕይወት ከቀኛዝማች
የቀረበው ምኒልክን
መንግሥት በሸዋዎች
ብርታትበ መንግሥታዊ
ኃላፊነትን የዐማኑኤል
ሆስፒታል ዳይሬክተር
ያላፈረሰው ክርስቲያን
ሰላማዊቷ የአያቶቻችን
ለማጠቃለያ ይሻለኛል
ትላላችሁ ለሁለተኛ
በተሰኘው መጽሐፋቸው
እንበልና የመድኃኒት
አስተዳደር አንዶችም
የተፈጥሮ ሊቃውንት
የምትገለጥ የተለያዩ
ተዋሕደውም መስተጋብር
አይደለም ተቀራራቢ
ያላቸውየቅርብ በሚመሠርቱት
ግንኙነት የሚፈጠርበት
ኢንብሪዲንግ የሚፈጠሩ
ዝርያዎች ጥንካሬያ
ከሚያብዱት ትውልድን
የሚያስጠነቅቁ የጥንትና
በተለምዶ እየተባለ
የሚጠራውና የተከፋፈለው
ኢትዮጵያ የኢትዮጵያን
የውሕደት ለመረዳት
ዓይነተኛ የሚያጋጥማቸው
የጭንቀት የሚያስከትለውን
ኒንጂክስ አቅራቢያ
መንገዶች መታጠቢያ
አልጋዎች የመብራት
የመመገቢያ የመሠረታዊ
አገልግሎት ከመጸዳጃ
መኪናዎች በድርድር
የሚከፈል ኒንጂክስ
አቅራቢያ የኤሌክትሪክ
ኢብስክሌት የወፍራም
ኢብስክሌት ኢብስክሌት
ኢብስክሌት የአውሮፓ
ኢብስክሌት የመለዋወጫ
መለዋወጫዎች ተደጋጋሚ
ጥያቄዎች ተለይተው
ኤሌክትሪክ የቢስክሌት
ኢየብስክሌት የአልሙኒየም
ነገርግን በሃይድሮሊክ
ነገርግን መገንጠያው
የአልሙኒየም አቅርቦት
ከክርስቶስ ቸርኬዎች
ድርብግድግዳ የማይዝግ
በመሙላት የቀድሞው
የኤሌክትሪክ ታጥፋለህ
ብስክሌት ኤሌክትሪክ
የቢስክሌት የኤሌክትሪክ
ብስክሌት የኤሌክትሪክ
ብስክሌት በተመለከተ
ጥያቄዎች የእርስዎ
እንደተገናኙ ሰማእታት
ቩፐርታል ሰማእታት
ቩፐርታል በአገራችን
ዴሞክራሲ እንዲያብብና
የመልካም አስተዳደር
እንዲቀረፉ እንዳይጣሱ
ከማድረግ ኃላፊነትን
ከፕሬዚዳንት ተነስተን
በተለያዩ ወቅታዊና
በጠቅላይ ሚኒስትር
የፕሬስና የፐብሊሲቲ
ሚኒስትር በጥንታዊቷ
አንደበት የነበረው
ለገናናው ቴዎድሮስ
አደረሳችሁ ለገናናው
ቴዎድሮስ አደረሳችሁ
ለገናናው ቴዎድሮስ
አደረሳችሁ ዘመነመሳፍንት
በሚጠራውና በዘለቀው
ኢትዮጵያ በአካባቢያዊ
መኳንንቶችና መሳፍንቶች
አንድነቷ ለነበረው
የፖለቲካ ውጥንቅጥ
ገናናውና ቴዎድሮስ
እንግዲህ እንደምናየው
ቴዎድሮስ አልጀመሩም
የጀመሩት ከአካባቢያቸው
ጉልበትእያገኙእናእየተደራጁ ዐማራውን
አስገብረው እንደቀድሞው
አደረጉት ለምናዬው
ውጥንቅጥም መፍትሔው
በተመሳሳይ አማራውን
በአማራዊ ማደራጀት
እንዲከላከል አስፈላጊውን
እንግዲህ የራስህን
በማስገበር አይሆንም
የጎጃምንና የጎንደርን
እንዲሁም በተለያዬ
የሚገኘውን ጥንተመሰረትና
በመግለጥና በማስረዳት
ባሳለፍነው ምዕተዓመት
በአማራነቱ ያሳለፈው
ስለመከረው ተደራጅቶ
ስለአንድነት የአማራው
አንድነቱን ይቀበላል
ይተወዋል አንድነት
የሚሰብክ እንደሆን
አማራዎች ዓይነተኛ
ምርጫችን ልናደርገው
በማጠቃለያ ቴዎድሮስ
ተነስተው አማራውን
ከእርስበርስ በማንነቱ
እጅለእጅ አያያዙት
የእፉኝት ተነስተው
ማዕከላዊ መንግስቱን
እንኪበጠብጡ የታፈረችና
የተከበረች አድርገውን
ለዘለዓለም በማንነታችን
እንድንኮራ በፊተኛውመሰረትላይማገርአድርገው
እንግዲህ ሕልውናው
በወደቀበት መስታዋት
ወደኋላው ቅድሚያራስህንአድን
አማራነትህንአጽና እናስተውል
ውክፔዲያ የተሰነዘረው
ውክፔዲያ የሚተገበረው
በመንፈስ እችላለሁ
የእግዚአብሔር መንግሥት
የምሥራች ክርስቶስ
ኀጢአተኞች ክርስቶስ
እግዚአብሔር ብትስክር
እግዚአብሔርም እንዳስነሳው
ትድናለህ ምክንያቱም
ሠርተዋል የእግዚአብሔርም
ጐድሎአቸዋል በመንፈስ
እችላለሁ በመንፈስ
መሞላትን በተመለከተ
በአማኞች እንደሚያድርባቸውና
እንደሚሆን የሰጠበት
የሚድርብንን መሞላትን
መመልከቱ በቋሚነት
የመንፈስ ለተወሰኑ
አይደለም ማጣቀሻዎች
ለማጠናከር በመጀመሪያ
በኢየሱስ በክርስቶስ
አልተቀመጠም የሚሰጠው
በዳንንበት አጽንዖት
የመንፈስ ማኅተምና
የሚከናወነው በሚታመንበት
በአማኞች በቋሚነት
ለአማኞች የሚሰጠው
ለሚሆነው በኢየሱስ
ማረጋገጫ ቆሮንቶስ
መንፈስን በኤፌሶን
ከተጠቀሰው በተጻራሪው
ለመንፈስ እንዲያድርብን
እንዲሁም እንዲሞላን
የሚያስረዳው እንደሚያድር
በውስጣችን ተሰሎንቄ
እንዲሆን ስንፈቅድ
የመንፈስ በውስጣችን
ሳንለማመደው እንቀራለን
የሚያስከትለው እያንዳንዱን
የሕይወታችን መምራቱንም
መቆጣጠሩን እንዲይዝ
በውስጣችን ይገለጥና
የምንሠራው ለእግዚአብሔር
የመንፈስ ድርጊቶች
ተግባራዊ አይደረግም
ተግባራዊ የሚደረገው
የድርጊቶቻችን ዓላማዎች
መድኃኒቴም የመንፈስ
የሚያዘገይ ለእግዚአብሔር
የመንፈስ የሚካሄድበት
በመንፈስ እንድንሞላ
ለመንፈስ አይደለም
የሚያመጣው ለእግዚአብሔር
ትዕዛዞች በውስጣችን
እንዲሠራ ነፃነትን
የሚሰጠው በኃጢአት
በመበከላችን በመንፈስ
ለመሞላት አይቻለንም
ኃጢአትን ወዲያውኑ
ለእግዚአብሔር መናዘዝና
የተሞላና የሚመራው
የመሆናችንን ቁርጠኝነት
ይኖርብናል ለመመለስ
የሚያምኑ የዘለዓለም
እንዲኖረው እንዳይጠፉ
እግዚአብሔር ወዶአልና
በእምነት ድናችኋልና
የእግዚአብሔር ከእናንተ
አይደለም እንዳይመካ
አይደለም የጌታችን
የኢየሱስ ክርስቶስ
በኢየሱስ ክርስቶስ
ምክንያት ሰጥቶናልና
የመጽሐፍ ጥያቄዎችና
መልሶቻቸው የመጽሐፍ
የኢትዮጵያ ቋንቋዎች
በኢትዮዽያ ቋንቋዎች
የተዘጋጀ የአማርኛ
በኢትዮዽያ ቋንቋዎች
የተዘጋጀ የአማርኛ
እንግሊዝኛአማርኛ የሳይንስና
ቴክኖሎጂ እንግሊዝኛ
መደርመስ አስተያየት
ኢትዮጵያ መንግሥት
መከልከል ነበረበት
የቆሻሻው የሚችልበትን
ማስከተሉ ስለማይቀር
ቢኖርባቸውም አነበረበትም
እንዳይደርስ መንግሥት
አስፈላጊውን የማከላከል
ባለመውሰዱ ሰንዝረዋል
ይመረቃሉ ያበቃቸው
የፊታችን በፍሬንድሺፕ
ይመረቃል በተሰኘው
ተቀባይነትን እንከባበር
ተወዳጅነት የተገለፀ
የነዚህን ለማስመረቅ
መወሰኑን በፍሬንድሺፕ
አስታውቋል በምርቃት
ሥነስርዓቱ አርቲስቶች
ስራዎቻቸውን ያቀርባሉ
የታኅሳስ መፈንቅለ
መንግሥት ማስታወሻ
ይሥሐቅየአንድምታ እስራኤልና
በፍልስጤማውያን የቀጠለችው
ግንባታዋ የሚባለው
እሥራኤል ግንባታውን
እንድታቋርጥ ማህበረሰብ
ቢያርፍባትም በመገንባት
ትገኛለች ግንባታው
በመካሄድ አመልክቷል
በፍልስጤማውያን በእስራኤል
ለማውረድ የሚደረገውን
እንዳያደናቅፍ ዉዝግብና
ዉዝግብና የኢንተርኔት
አገልግሎት ኩባንያዎች
አለመሆኑን ኢትዮቴሌኮም
የጀርመን መንግሥት
ለጉብኝት የሚገኙትን
ፕሬዚደንት በጽሕፈት
ተቀብለዋል አሜሪካዊው
ፕሬዚደንት የእንግሊዝ
ፕሪሚየር ጨዋታዎች
እንደሚካሄዱ ይጠበቃል
በተደረገ ማንቼስተር
ዩናይትድ ከሚመራዉ
አጥብቧል የሚካሄደዉን
የሚመለከት በሰብዓዊ
የተካሄደ ኢትዮጵያ
በሰብዓዊ የተካሄደ
በኢትዮጵያ ተወካዮች
በሰብዓዊ በብሔራዊ
የሰብዓዊ የድርጊት
አዘጋጅነት ተካሂዶአል
የሰብዓዊ ስብሰባዉ
ካነሳቸዉ ስለሴቶች
ጉዳተኞች የአካራይ
ግንኙነት የአካባቢ
ደሕንነት በመሳሰሉት
በዘለቀዉ የአስቸኳይ
በሚመለከት የተለያዩ
የፖለቲካ ተጠሪዎች
በተገኙበት የተለያዩ
ጥያቄዎች እንደነበርም
ተገልፆአል ወኪላችን
ኃይለጊዮርጊስ መንትዮቹ
ደራሲጌታቸው በኢትዮጵያና
በኤርትራ የተፈጠረው
የሰላምና የወዳጅነት
ማብሰሪያ ስነስርዓት
ከሚሊኒየም በኢትዮጵያና
በኤርትራ የተፈጠረው
የሰላምና የወዳጅነት
ማብሰሪያ ስነስርዓት
በሚሊኒየም እየተካሄደ
በስነስርዓቱ የኢፌዲሪ
ሚንስትር የወልድያ
አሰልጣኝ አሰልጣኝ
የወልድያ አሰልጣኝ
መሾማቸው ተነግሯል
አሰልጣኙ ተረክበው
ማሰልጠን እንደሚጀምሩም
የወልድያ ጊዮርጊስ
ያደረጉት ተጠናቀቀ
በኢትዮጵያ ፕሪምየር
ጊዮርጊስ ያደረጉት
ተስታካካይ ተጠናቀቀ
በጨዋታው ባለሜዳዎቹ
ከተማዎች ስምዖንን
ያስያዘው አገልግሎት
መረጃዎችን ለመጠቀም
የሚያስችል መተግበሪያ
አገልግሎት መረጃዎችን
ለመጠቀም የሚያስችል
መተግበሪያ አገልግሎት
መረጃዎችን ለመጠቀም
የሚያስችል መተግበሪያ
ተገልጿል መተግበሪያው
የሞባይል የማስፋፋት
ውስንነት ባለባቸውና
መቆራረጥ የሚያጋጥማቸው
አካባቢዎችን በማድረግ
የተዘጋጀ መተግበሪያው
ኢንዶኖዥያን አገልግሎት
እንደሚሰጥም የተገለጸው
መተግበሪያው አርቲክሎችን
ለማንበብ አገልግሎቱን
እንደሆነ አመላክቷል
መተግበሪያ ብሮውዘር
አንድሮይድ ኦፕሬቴንግ
አገልግሎት አገልግሎት
